dataset,fold,method,test_error,rank,normalized-error,time fit (s),time infer (s),config_selected,portfolio_name,seed,fit budget
Australian,0,Portfolio-N2 metalearning (ensemble),0.0509337860780985,633.0000000000001,1.0,3.9004158973693848,0.0001292297805564,['CatBoost_r84_BAG_L1'],,0,
Australian,1,Portfolio-N2 metalearning (ensemble),0.0764006791171477,317.00000000000006,0.7222222222222252,2.0680532455444336,0.0001185078551803,['CatBoost_r84_BAG_L1'],,0,
Australian,2,Portfolio-N2 metalearning (ensemble),0.0687606112054329,177.00000000008924,0.5600000000000052,2.6616225242614746,0.0001290604688119,['CatBoost_r84_BAG_L1'],,0,
Australian,0,Portfolio-N3 metalearning (ensemble),0.0517826825127334,660.0,1.0,3.4126670360565186,0.0001205395961153,['CatBoost_r60_BAG_L1'],,0,
Australian,1,Portfolio-N3 metalearning (ensemble),0.0772495755517826,334.3181818181818,0.7777777777777775,1.9978868961334229,0.0001248553179312,['CatBoost_r60_BAG_L1'],,0,
Australian,2,Portfolio-N3 metalearning (ensemble),0.0687606112054329,177.00000000008924,0.5600000000000052,1.847471714019776,0.0001165383103964,['CatBoost_r60_BAG_L1'],,0,
MIP-2016-regression,0,Portfolio-N2 metalearning (ensemble),17042.495652918886,38.5,0.195831812347866,5.150728702545166,0.0006123967126968,['LightGBM_r133_BAG_L1'],,0,
MIP-2016-regression,1,Portfolio-N2 metalearning (ensemble),21802.36130028584,246.49999999999665,0.4163790341529937,38.90046119689941,0.0006854140430415,['LightGBM_r133_BAG_L1'],,0,
MIP-2016-regression,2,Portfolio-N2 metalearning (ensemble),20208.47766431288,499.5,0.8459182660817499,7.898936748504639,0.0002895385847179,['LightGBM_r133_BAG_L1'],,0,
MIP-2016-regression,0,Portfolio-N3 metalearning (ensemble),17953.31300902583,174.04198861520993,0.479064682560752,142.1851851940155,0.0054911845320954,"['XGBoost_r139_BAG_L1', 'XGBoost_r58_BAG_L1', 'LightGBM_r195_BAG_L1']",Portfolio-9-PS3-ES20-S0,0,
MIP-2016-regression,1,Portfolio-N3 metalearning (ensemble),21487.70577124655,191.28979943722928,0.339291104464329,128.08210706710815,0.0096174139495288,"['XGBoost_r139_BAG_L1', 'XGBoost_r58_BAG_L1', 'LightGBM_r195_BAG_L1']",Portfolio-9-PS3-ES20-S0,0,
MIP-2016-regression,2,Portfolio-N3 metalearning (ensemble),19751.40619800368,285.4469579376495,0.6431249935157334,56.9126718044281,0.0052785982779405,"['XGBoost_r139_BAG_L1', 'XGBoost_r58_BAG_L1', 'LightGBM_r195_BAG_L1']",Portfolio-9-PS3-ES20-S0,0,
Moneyball,0,Portfolio-N2 metalearning (ensemble),20.525161787843118,301.4999999999997,0.722531274977248,0.8301186561584473,0.0005170412651904,['LightGBM_r139_BAG_L1'],,0,
Moneyball,1,Portfolio-N2 metalearning (ensemble),23.079866606491077,392.4999999999985,0.6160347642133305,0.8238539695739746,0.0004701064778612,['LightGBM_r139_BAG_L1'],,0,
Moneyball,2,Portfolio-N2 metalearning (ensemble),21.240073874820844,89.5,0.5261383457460604,0.7429983615875244,0.0004727770755817,['LightGBM_r139_BAG_L1'],,0,
Moneyball,0,Portfolio-N3 metalearning (ensemble),20.293108602471737,211.5,0.5992455302729566,55.83787131309509,0.000184987272535,['CatBoost_r78_BAG_L1'],,0,
